plot,true_genres,predicted_genres
"['When her husband goes missing during their Caribbean vacation, a woman sets off on her own to take down the men she thinks are responsible.::IMDb Editors', ""When Ava meets Derek Grant, they fall in love and marry with each other under the protest of his wealthy father Robert Grant that believes Ava is a gold digger. Ava had a tough childhood with her abusive father Casey that trained her in martial arts and other fights. Ava and Derek travel to Caribe in honeymoon and soon they meet the local Manny that invites them to go to a fashion night club. The powerful gangster Big Biz hits on Ava and Derek and she fight with his minions. On the next morning, Manny takes them to a tyrolean crossing but out of the blue, Derek has a problem with his gear and falls off in a valley, breaking his leg. Ava finds him and an ambulance takes Derek to a local clinic. Ava follows the ambulance in Manny's motorcycle but crashes and loses the sight the ambulance. When she goes to the clinic, she does not find Derek. She goes to the police station and Chief RamÃ³n Garza promises to help her. But soon Ava discovers that there is a conspiracy and decides to look for her beloved husband alone."", 'When her husband goes missing during their Caribbean Honeymoon, the distraught wife, specially trained in fighting and defense skills by her father, chases down every lead possible on her own as authorities and locals alike barricade her every turn. Relentless and unstoppable she powers forward to take down the men that were responsible and rescue the man she loves.::Brian']","Action, Crime, Thriller","Action, Thriller"
"[""It is the story of a powerful family of the Chilean high aristocracy in the decade of the 50's. A clan led by the fearsome Armando Quiroga, where intrigue, suspense and romance build a story of passion in times of hypocrisy."", ""Armando Quiroga is the wealthiest and most powerful man in Villa RuiseÃ±or. He has built a lovely home with his aristocrat wife, Estela, and their children. Quiroga has achieved all of his dreams but his life is about to be shaken by his own actions. While he partakes in a forbidden affair, his daughter, Maria Elsa, has fallen in love with the son of the housemaid, challenging the most important rule of their time: the division of social classes. And, the arrival of Reynaldo Suarez, the new priest in Villa RuiseÃ±or, means more trouble for Armando. Maria Elsa quickly becomes seduced by this priest's charm, unable to avoid the romance that begins escalating between them. This priest will find himself stuck at a crossroads: keeping his faith or succumbing to a woman's love.""]",Drama,"Drama, Romance"
"['An English village is occupied by disguised German paratroopers as an advance post for a planned invasion.::Anonymous', 'The residents of a British village during WWII welcome a platoon of soldiers who are to be billeted with them. The trusting residents then discover that the soldiers are Germans who proceed to hold the village captive.::Steve Crook <steve@brainstorm.co.uk>', ""May 1942. The small English village of Bramley End is visited by a detachment of about 60 Royal Engineers. They are ostensibly there on an exercise but are in actual fact a detachment of German paratroopers, the advance guard of Hitler's invasion of England. Some of the villagers figure out their true identities but before they can do anything all the villagers are held prisoner by the Germans. Will the villagers be able to get word out of the threat? The fate of England depends on them.::grantss"", ""The time for this sleepy village to awake and face its demons has firmly landed on its doorstep. The transformation of idyllic rural Englishness has to be tested to its limits, on their own and with time running out, even the softest of hearts have to learn the hardest rule; in order to survive, this little village of Bramley End must, with shocking and disturbing new qualities', adapt to their new surroundings. Frank and hard-hitting World War II cinema.::Cinema_Fan""]","Thriller, War","Drama, History, War"
"['Set in La Guaira between 1924 and 1954, it tells the life of the famous Venezuelan painter Armando ReverÃ³n.::cinephile13']","Biography, Drama, History",Biography
"['The people of a fishing village is about to witness a miracle thanks to the new mysterious friend of a young, lonely boy.', 'A boy whose mother is in an institution is protected by a happy-go-lucky sailor until he has to leave for a fishing job, encountering unexpected events while at sea. The kid feels alone in the world, but he finds a mysterious, wise and friendly character in a cave and an image of Christ in the beach, from a shipwreck. The town priest wants to take the Christ from the boy and put it in the parish church. The gossip among the people makes things difficult for the boy. The authorities want to decide his destiny. Then miracles begin to happen.']",Drama,"Comedy, Drama, Family"
"[""When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.::Anonymous"", 'Tired of working on the farm, the special sheep, Shaun, takes his flock and the farmer\'s dog, Bitzer, into his own ""temporary escape plan"" after an unexpected accident. Unfortunately, in the big city, the farmer is diagnosed with amnesia, that could possibly change their normal farm life forever, and the squad sets a plan in order to regain the farmer\'s memory and return to the farm. But, an animal control worker named Trumper intervenes in their plan.::Gusde', ""Fed up with the Farmer's inflexible schedule, and the tedious daily routine in the verdant Mossy Bottom Farm, Shaun, the naughty woolly sheep, is yearning for a short break. With this in mind, the mischievous lamb assembles the old flock, and under the nose of Bitzer, the ever-watchful sheepdog, they hatch an elaborate scheme to have a day off. However, as there's no such thing as a foolproof plan, an unforeseen complication results in a severe case of amnesia, with the Farmer stranded somewhere in the heart of the Big City: the realm of the relentless animal-control worker, Trumper. Under those circumstances, can Shaun right a wrong? In the end, is the grass always greener on the other side of the fence?::Nick Riganas""]","Adventure, Animation, Comedy, Family, Fantasy","Animation, Family, Fantasy"
"['Set amidst the color and custom of the ancient city of Banaras, Ishq Ka Rang Safed is the tale of the impossible love of Viplav for Dhaani. The carefree, spoilt grandson of Mahant Dashrath Tripathi, Viplav is slated to go abroad for his law studies and intends to never return to the religiosity, traditionalism and ritualism of Benares and his family. Life takes an abrupt turn as Viplav encounters Dhaani - a lady in white. An innocent prank played in retribution of a bruised ego draws Viplav into an unseen world and the realization of the harsh realities of life. A reality epitomized by Dhaani. A young widow leading a life of quiet dignity abiding by her Dharma in a society that condemns women to living death even in the 21st Century. Swathed in white and devout to her cause, Dhaani is a conformist yet no weak willow as evident by her determined stance and sense of pride held against Viplav from the time she saw him as a ""rakshas"" till his profession of love towards her.::Colors TV']","Crime, Drama, Romance",Drama
"[""Johnny and Peter, former paramilitary operatives, search Bangkok - leaving carnage in their wake - to find the men who killed Johnny's daughter, Angel.::Grindstone Entertainment Group, LLC."", ""Two former paramilitary operatives, Johnny and Peter, search Bangkok to find the killers of Johnny's daughter, Angel. But when Angel turns out to be a high-level call girl, Johnny and Peter shoot their way through pimps, drug cartels, and anyone that comes between them and the truth.::Grindstone Entertainment Group, LLC.""]","Action, Crime, Thriller",Action
"['A firebrand heiress clashes with her tyrannical father, a cattle rancher who fancies himself a Napoleon, but their relationship turns ugly only when he finds himself a new woman.::J. Spurlin', 'The 1870s, New Mexico territory: T.C. Jeffords (Walter Huston) is a cattle baron who built his ranch, the Furies, from scratch. He borrows from banks, pays hired hands with his own script (""T.C.\'s""), and carries on low-level warfare with the Mexicans who settled the land, but are now considered squatters. He has enemies, including Rip Darrow (Wendell Corey), a saloon owner who\'s father T.C. took land from. His headstrong daughter, Vance (Barbara Stanwyck), has a life-long friend in one of the Mexicans, her heart set on Rip, and dad\'s promise she\'ll run the Furies someday. Her hopes are smashed by Rip\'s revenge, a gold-digger who turns T.C.\'s head, and T.C.\'s own murderous imperialism. Is Vance to be cursed by fury and hatred?::<jhailey@hotmail.com>', 'Vance Jeffords (Barbara Stanwyck) is a firebrand, and that\'s the way her equally iron-willed father, T.C. Jeffords (Walter Huston), likes her. Certainly the tyrannical cattle rancher cares more for his daughter than his seemingly weak-willed son, whose wedding is only the ostensible reason for him to end his San Francisco trip earlier than expected and return to The Furies. T.C. needs money, and being something like a feudal lord of the 1870s, all he has to do is print some up: his own money, paper bills called ""T.C.s"". He also has enough power to drive off the Mexican squatters from his land, but Vance insists he leave the Herrera family alone. She is close friends with the family\'s eldest son, Juan (Gilbert Roland), who is in love with her. Vance is in love with nobody until she meets Rip Darrow (Wendell Corey), a flinty gambler who wants back the piece of land he believes rightfully belongs to him. Predictably, father and daughter clash over Rip, but their lively relationship doesn\'t turn ugly until T.C., who hasn\'t been serious about a woman since his wife had the effrontery to die, meets an attractive widow who schemes to take control of The Furies herself.::J. Spurlin']","Drama, Romance, Western",Western
"['Vicious Circle captures the hottest comic in America in his first HBO comedy event, a unique ""in the round"" performance before his hometown Boston fans.::Anonymous']","Comedy, Documentary","Comedy, Short"
"['A rather dull minded bank robber suddenly suffers from a change of heart and decides to give the money back. However, he then learns that getting the money back into the bank is much more difficult than taking it out.::RequiredFields']","Comedy, Crime, Drama",Crime
"['Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.::jgp3553@yahoo.com', ""Brennan Huff and Dale Doback are both about 40 when Brennan's mom and Dale's dad marry. The sons still live with the parents so they must now share a room. Initial antipathy threatens the household's peace and the parents' relationship. Dad lays down the law: both slackers have a month to find a job. Out of the job search and their love of music comes a pact that leads to friendship but more domestic disarray compounded by the boys' sleepwalking. Hovering nearby are Brennan's successful brother and his lonely wife: the brother wants to help sell his step-father's house, the wife wants Dale's attention, and the newlyweds want to retire and sail the seven seas. Can harmony come from the discord?::<jhailey@hotmail.com>"", ""Two unemployed, 39 year old Los Angeles area slackers - Brennen Huff and Dale Doback - are brought together when Brennen's mom falls for and marries Dale's dad. As the two get used to living together, tensions between Brennen and Dale grow incredibly intense. However, at family gatherings, Brennen is always overshadowed by his wealthy, successful, and obnoxious brother Derek - who drives a luxury car, has a beautiful (but lonely) wife and two kids. As Brennan and Dale both quickly learn they share the same hatred for Derek, they quickly find out they both have more in common than once thought. They soon decide that they both have the ultimate business idea, combine Brennan's singing abilities with Dale's drumming abilities to form a rock and roll karaoke company. However, Dale's father's dream of sailing around the world hinders their plans, along with a series of incidents that constantly shoot themselves in the foot. Can they pull it off without driving each other completely crazy?::halo1k""]",Comedy,Comedy
"['The life of the Apostle James the Greater, from his time with Jesus, then on his own.::Glaston']",Biography,"Drama, History"
"['A dramatisation of the early years of Doctor Who (1963), with the story revolving around BBC executive Sydney Newman, novice producer Verity Lambert and actor William Hartnell.::Anonymous', ""In 1963 Sydney Newman, progressive head of BBC TV's drama department, wants to fill a Saturday tea-time slot with a show with youth appeal and hits on the idea of an august figure, like a doctor, leading a group of companions on time travel adventures. He engages inexperienced young producer Verity Lambert to expand the idea. Fighting sexist and racial bigotry Verity and young Indian director Waris Hussein persuade crusty character actor William Hartnell to play the doctor figure and, despite technical hiccups and competition with coverage of the Kennedy assassination, the first episode of 'Doctor Who' is born. As the show becomes a success Hartnell displays an obsession with his character but, after three years, ill health catches up with him and he starts to forget lines. Newman tells him that Doctor Who will 'regenerate' and he will be replaced by younger actor Patrick Troughton. Though attached to the part and reluctant to give it up Hartnell wishes every success to Troughton, the first of several actors to play a part which will endure for fifty years.::don @ minifie-1""]","Biography, Drama, History",Drama
"['Three high school friends are forced to commit a brazen robbery which quickly goes horribly wrong.::Whitewater Films', ""'Seven Minutes' is the story of three friends, Sam, Mike and Owen, forced by circumstance to commit a brazen robbery. What begins as a simple plan - 'in and out in seven minutes' - quickly becomes a dangerous game of life and death. As each minute of the robbery unfolds, the stakes are pushed higher and higher. In the final act, Sam's pregnant girlfriend Kate is kidnapped, escalating the situation even further and pressing our heroes to do whatever they can to make it out alive.::Anonymous""]","Crime, Drama, Thriller","Crime, Drama, Thriller"
"['A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.::Alejandro Frias', ""A former rock star, Johnny Boz, is brutally killed during sex, and the case is assigned to detective Nick Curran of the SFPD. During the investigation, Nick meets Catherine Tramell, a crime novelist who was Boz's girlfriend when he died. Catherine proves to be a very clever and manipulative woman, and though Nick is more or less convinced that she murdered Boz, he is unable to find any evidence. Later, when Nilsen, Nick's rival in the police, is killed, Nick suspects of Catherine's involvement in it. He then starts to play a dangerous lust-filled mind game with Catherine to nail her, but as their relationship progresses, the body count rises and contradicting evidences force Nick to start questioning his own suspicions about Catherine's guilt.::Soumitra"", ""Former rock star and San Francisco nightclub owner Johnny Boz is found murdered in his bed. Detective Nick Curran is assigned to the case; he has a history of alcoholism and drug abuse although he is clean now. The prime suspect is Catherine Tramell, an attractive and manipulative novelist who had been seeing Boz for a while. Police psychiatrist Beth Gardner (who happens to be Nick's ex-girlfriend) is brought in on the case when it is discovered that Boz's murder was copied directly from one of Catherine's novels. Nick starts to get too involved and everyone seems to be a suspect.::Col Needham <col@imdb.com>"", ""Nick Curran is in charge of the investigation of a brutal murder of a rock star, who has been killed using an ice pick. All the evidence points to a beautiful woman, Catherine, as the main suspect of the crime. Catherine is a psychologist and she's written one crime novel, a story in which a similar crime is described. Curran goes to Catherine's house to interrogate her about the victim and what happened that night. Apparently, Catherine was a formal lover of the musician and she even spent that night with him, but she claims to have not killed him. Nick feels attracted immediately to Catherine, but she's a quite intelligent woman who manages to avoid his questions cleverly, using her physical attributes and seductive personality. Catherine has a romantic relationship with another woman, but that won't be an obstacle for Nick, who everyday seems to be much more interested in her. But Nick's been checked by a psychologist, Beth, who was his girlfriend in the past, because the detective had an alcohol problem. But the sexual attraction that Nick feels for Catherine, seems to provoke the problem again. Nick becomes Catherine's lover, a fact that threatens to hinder the investigation and puts in danger his life, discovering a wild sexuality never experimented before. Nick's convinced that Catherine is innocent, but maybe love and sex are blinding him in his way of unfolding the truth.::Alejandro Frias""]","Drama, Mystery, Thriller","Drama, Mystery, Thriller"
"['Now that they\'re living together, Fiona struggles to accept the new ""boring"" Jimmy. Frank wakes up in a place completely foreign to him. Lip is sentenced to community service. Baby Hymie keeps Jody and Sheila up all night.::SHOWTIME', 'Season 3 premiere. Now that they\'re living together, Fiona struggles to accept the new ""boring"" Jimmy. Frank wakes up in a place completely foreign to him. Lip is sentenced to community service. Baby Hymie keeps Jody and Sheila up all night.']","Comedy, Drama","Comedy, Drama"
"['Following three skaters in Mar Del Plata, an old resort town in Argentina, a discreetly rendered portrait of a town with a passÃ© charm, and of graceful and melancholic youth.::anonymous']",Documentary,"Comedy, Short, Sport"
"['Three women fight to break the cycle one life at a time.', ""Once a bustling industrial town, Huntington, West Virginia has become the epicenter of America's modern opioid epidemic, with an overdose rate 10 times the national average. This flood of heroin now threatens this Appalachian city with a cycle of generational addiction, lawlessness, and poverty. But within this distressed landscape, Peabody Award winning filmmaker Elaine McMillion Sheldon shows a different side of the fight against drugs; one of hope.::Netflix""]","Documentary, Short",Drama
"['The difficulties faced by a sweet-hearted white slave in the Brazilian Colonial period, targeted by the obsession of her lord.::Anonymous', ""Second version of the Brazilian soap opera of larger success in the exterior. Isaura is born in 1835, in Commander Almeida's farm, in Campos' city, inside the State of Rio de Janeiro, in Brazil. She is daughter of beautiful Juliana, slave of the Commander, and of the administrator of the farm, Miguel. Everything gets complicated in her life, when it goes back to the farm Mr. LeÃ´ncio, son of the Commander, that grows a crazy passion for the beautiful slave.::Anonymous""]","Drama, History, Romance","Biography, Drama, History"
